Boston - 02205,42.3604823,-71.0595677
Hartford - 06101,41.7634935,-72.6830522
New York - 10199,40.7305991,-73.9865811
Buffalo - 14201,42.8968,-78.8864
Pittsburgh - 15290,40.4416941,-79.990086
Philadelphia - 19104,39.9523993,-75.1635898
Washington DC - 20090,38.8949549,-77.0366455
Baltimore - 21202,39.2908608,-76.6108072
Virginia Beach - 23450,36.8529841,-75.9774182
Charlotte - 28228,35.2270869,-80.8431267
Atlanta - 30304,33.7490987,-84.3901848
Jacksonville - 32203,30.3321838,-81.6556509
Orlando - 32802,28.5421175,-81.3790461
Miami - 33152,25.7742658,-80.1936588
Tampa - 33630,27.9477595,-82.4584439
Nashville - 37230,36.1622296,-86.774353
Memphis - 38101,35.1490215,-90.0516284
Louisville - 40231,38.2542376,-85.7594069
Columbus - 43216,39.9622601,-83.0007064
Cleveland - 44101,41.5051613,-81.6934445
Cincinnati - 45225,39.1014537,-84.5124601
Indianapolis - 46206,39.7683331,-86.1583501
Detroit - 48233,42.3486635,-83.0567374
Grand Rapids - 49501,42.9632405,-85.6678638
Milwaukee - 53203,43.0349931,-87.9224969
Minneapolis - 55401,44.9772995,-93.2654691
Chicago - 60607,41.8755546,-87.6244211
St. Louis - 63155,38.6272733,-90.1978888
Omaha - 68108,41.2587317,-95.9378731
New Orleans - 70113,29.9499323,-90.0701155
Oklahoma City - 73125,35.4729886,-97.5170535
Dallas - 75260,32.7620405,-96.7790068
Houston - 77201,29.7589382,-95.3676973
San Antonio - 78284,29.4246002,-98.4951404
Austin - 78710,30.2711286,-97.7436994
El Paso - 79910,31.7600372,-106.4872869
Denver - 80202,39.7391536,-104.9847033
Phoenix - 85026,33.4485866,-112.0773455
Tucson - 85726,32.2217422,-110.9264758
Albuquerque - 87101,35.0841034,-106.650985
Las Vegas - 89199,36.1662859,-115.1492249
Los Angeles - 90052,34.0543942,-118.2439408
San Diego - 92199,32.7174209,-117.1627713
Fresno - 93706,36.7295295,-119.708861160756
San Francisco - 94188,37.7792808,-122.4192362
San Jose - 95101,37.3361905,-121.8905832
Sacremento - 95813,44.9612899,-122.9763364
Honolulu - 96820,21.304547,-157.8556763
Portland - 97208,45.5202471,-122.6741948
Seattle - 98108,47.6038321,-122.3300623